batch_id,material_category,material_form,composition,sample_state,treatment_state,treatment_chemistry,treatment_method,atmosphere,gas_flow_mL_min,heating_rate_C_min,T1_C,T5_C,T10_C,T20_C,T50_C,Tonset_C,Tmax1_C,Tmax2_C,Tmax3_C,residue_at_Tmax_pct,R500_pct,R600_pct,R700_pct,R800_pct,LOI_pct,LOI_uncertainty_pct,LOI_state,direct_numeric_use,evidence,source_title,year,journal,DOI,source_url,source_location,limitations
B20260921-071,silk,fabric,silk fabric,Silk,untreated,,,air,,10,,269,,,393,,321,,,,,,,2.9,23.3,,0 laundering cycles,yes,Open full text numerical TGA Table 2 in air and N2 + LOI Table 4; TGA method ambient–800 °C at 10 °C/min,"One-pot strategy to simultaneously prepare dyed, flame retardant and UV-resistant silk fabric based on a safflower yellow derivative",2022,RSC Advances,10.1039/D2RA04873F,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra04873f,Experimental characterization; Tables 2 and 4,Only the unwashed LOI is paired with the TGA state; wash-cycle LOI values are retained out of this row set.
B20260921-072,silk,fabric,silk fabric,Silk,untreated,,,N2,,10,,281,,,392,,326,,,,,,,27.8,23.3,,0 laundering cycles,yes,Open full text numerical TGA Table 2 in air and N2 + LOI Table 4; TGA method ambient–800 °C at 10 °C/min,"One-pot strategy to simultaneously prepare dyed, flame retardant and UV-resistant silk fabric based on a safflower yellow derivative",2022,RSC Advances,10.1039/D2RA04873F,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra04873f,Experimental characterization; Tables 2 and 4,Only the unwashed LOI is paired with the TGA state; wash-cycle LOI values are retained out of this row set.
B20260921-073,silk,fabric,silk fabric,D-silk,dyed,safflower yellow (SY) dye treatment,wet-chemical finishing as described in source,air,,10,,195,,,411,,326,,,,,,,3.7,24.1,,0 laundering cycles,yes,Open full text numerical TGA Table 2 in air and N2 + LOI Table 4; TGA method ambient–800 °C at 10 °C/min,"One-pot strategy to simultaneously prepare dyed, flame retardant and UV-resistant silk fabric based on a safflower yellow derivative",2022,RSC Advances,10.1039/D2RA04873F,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra04873f,Experimental characterization; Tables 2 and 4,Only the unwashed LOI is paired with the TGA state; wash-cycle LOI values are retained out of this row set.
B20260921-074,silk,fabric,silk fabric,D-silk,dyed,safflower yellow (SY) dye treatment,wet-chemical finishing as described in source,N2,,10,,201,,,266,,323,,,,,,,31.1,24.1,,0 laundering cycles,yes,Open full text numerical TGA Table 2 in air and N2 + LOI Table 4; TGA method ambient–800 °C at 10 °C/min,"One-pot strategy to simultaneously prepare dyed, flame retardant and UV-resistant silk fabric based on a safflower yellow derivative",2022,RSC Advances,10.1039/D2RA04873F,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra04873f,Experimental characterization; Tables 2 and 4,Only the unwashed LOI is paired with the TGA state; wash-cycle LOI values are retained out of this row set.
B20260921-075,silk,fabric,silk fabric,PN-silk,FR treated,phosphoric acid + urea phosphorylation treatment,90 °C bath treatment 1 h; squeeze to 150% liquid retention; bake 165 °C 4 min; wash and dry 60 °C,air,,10,,164,,,410,,298,,,,,,,8.1,31.5,,0 laundering cycles,yes,Open full text numerical TGA Table 2 in air and N2 + LOI Table 4; TGA method ambient–800 °C at 10 °C/min,"One-pot strategy to simultaneously prepare dyed, flame retardant and UV-resistant silk fabric based on a safflower yellow derivative",2022,RSC Advances,10.1039/D2RA04873F,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra04873f,Experimental characterization; Tables 2 and 4,Only the unwashed LOI is paired with the TGA state; wash-cycle LOI values are retained out of this row set.
B20260921-076,silk,fabric,silk fabric,PN-silk,FR treated,phosphoric acid + urea phosphorylation treatment,90 °C bath treatment 1 h; squeeze to 150% liquid retention; bake 165 °C 4 min; wash and dry 60 °C,N2,,10,,149,,,393,,299,,,,,,,30.9,31.5,,0 laundering cycles,yes,Open full text numerical TGA Table 2 in air and N2 + LOI Table 4; TGA method ambient–800 °C at 10 °C/min,"One-pot strategy to simultaneously prepare dyed, flame retardant and UV-resistant silk fabric based on a safflower yellow derivative",2022,RSC Advances,10.1039/D2RA04873F,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra04873f,Experimental characterization; Tables 2 and 4,Only the unwashed LOI is paired with the TGA state; wash-cycle LOI values are retained out of this row set.
B20260921-077,silk,fabric,silk fabric,FR-silk,dyed + FR treated,phosphorylated safflower yellow derivative (ASY); weight gain 8.2 wt%,wet-chemical finishing as described in source,air,,10,,160,,,515,,775,,,,,,,17.4,32.8,,0 laundering cycles,yes,Open full text numerical TGA Table 2 in air and N2 + LOI Table 4; TGA method ambient–800 °C at 10 °C/min,"One-pot strategy to simultaneously prepare dyed, flame retardant and UV-resistant silk fabric based on a safflower yellow derivative",2022,RSC Advances,10.1039/D2RA04873F,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra04873f,Experimental characterization; Tables 2 and 4,Only the unwashed LOI is paired with the TGA state; wash-cycle LOI values are retained out of this row set.
B20260921-078,silk,fabric,silk fabric,FR-silk,dyed + FR treated,phosphorylated safflower yellow derivative (ASY); weight gain 8.2 wt%,wet-chemical finishing as described in source,N2,,10,,266,,,432,,321,,,,,,,37.1,32.8,,0 laundering cycles,yes,Open full text numerical TGA Table 2 in air and N2 + LOI Table 4; TGA method ambient–800 °C at 10 °C/min,"One-pot strategy to simultaneously prepare dyed, flame retardant and UV-resistant silk fabric based on a safflower yellow derivative",2022,RSC Advances,10.1039/D2RA04873F,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra04873f,Experimental characterization; Tables 2 and 4,Only the unwashed LOI is paired with the TGA state; wash-cycle LOI values are retained out of this row set.
B20260921-079,polypropylene,nonwoven fabric,PP nonwoven fabric,Control PP fabric,untreated,,,N2,60,10,,425,,,,,468,,,,,,7.1,,18.2,0.5,as prepared,yes,"Original article numerical TGA Table 3 + LOI table; TGA method ~4 mg, N2 60 mL/min, ambient–800 °C, 10 °C/min",Intumescent flame retardant finishing for polypropylene nonwoven fabric,2020,Journal of Industrial Textiles,10.1177/1528083720938158,https://journals.sagepub.com/doi/10.1177/1528083720938158,Experimental TGA method; flame-retardancy table; Table 3,Article was first published online in 2020 and assigned to a 2022 issue; year field uses first online publication year.
B20260921-080,polypropylene,nonwoven fabric,PP nonwoven fabric,PP-1,FR treated,30% intumescent FR (APP/PER mass ratio 5); weight gain 34.9%,CTAC hydrophilization followed by APP/PER pad-dry finishing,N2,60,10,,302,,,,,486,,,,,,15.9,,23.5,0.2,as prepared,yes,"Original article numerical TGA Table 3 + LOI table; TGA method ~4 mg, N2 60 mL/min, ambient–800 °C, 10 °C/min",Intumescent flame retardant finishing for polypropylene nonwoven fabric,2020,Journal of Industrial Textiles,10.1177/1528083720938158,https://journals.sagepub.com/doi/10.1177/1528083720938158,Experimental TGA method; flame-retardancy table; Table 3,Article was first published online in 2020 and assigned to a 2022 issue; year field uses first online publication year.
